Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Profile""))",Chrome 77.0.3865.90,,,2020-01-12 13:14:57,2020-01-12 13:14:57,0.124s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:14:57,2020-01-12 13:15:00,3.003s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Chrome 77.0.3865.90,,,2020-01-12 13:15:00,2020-01-12 13:15:00,0.077s,PASSED
"hello = getText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Chrome 77.0.3865.90,,,2020-01-12 13:15:00,2020-01-12 13:15:00,0.048s,PASSED
"verifyEqual(""Hello, Katalon Acomodeo"", hello)",Chrome 77.0.3865.90,,,2020-01-12 13:15:00,2020-01-12 13:15:00,0.001s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,,2020-01-12 13:15:00,2020-01-12 13:15:00,0.080s,PASSED
,,,,,,,
Test Cases/roche,Chrome 77.0.3865.90,,,2020-01-12 13:15:00,2020-01-12 13:15:33,32.641s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2020-01-12 13:15:01,2020-01-12 13:15:01,0.576s,PASSED
"navigateToUrl(""https://roche.acomodeo.com/en/"")",Chrome 77.0.3865.90,,,2020-01-12 13:15:01,2020-01-12 13:15:03,2.005s,PASSED
delay(10),Chrome 77.0.3865.90,,,2020-01-12 13:15:03,2020-01-12 13:15:13,10.003s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:15:13,2020-01-12 13:15:14,0.284s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:15:14,2020-01-12 13:15:17,3.003s,PASSED
"setText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_email""), username)",Chrome 77.0.3865.90,,,2020-01-12 13:15:17,2020-01-12 13:15:17,0.592s,PASSED
"setEncryptedText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_password""), password)",Chrome 77.0.3865.90,,,2020-01-12 13:15:17,2020-01-12 13:15:19,1.340s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:15:19,2020-01-12 13:15:22,3.002s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/span_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:15:22,2020-01-12 13:15:22,0.110s,PASSED
delay(8),Chrome 77.0.3865.90,,,2020-01-12 13:15:22,2020-01-12 13:15:30,8.013s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Profile""))",Chrome 77.0.3865.90,,,2020-01-12 13:15:30,2020-01-12 13:15:30,0.176s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:15:30,2020-01-12 13:15:33,3.002s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Chrome 77.0.3865.90,,,2020-01-12 13:15:33,2020-01-12 13:15:33,0.141s,PASSED
"hello = getText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Chrome 77.0.3865.90,,,2020-01-12 13:15:33,2020-01-12 13:15:33,0.079s,PASSED
"verifyEqual(""Hello, Katalon Acomodeo"", hello)",Chrome 77.0.3865.90,,,2020-01-12 13:15:33,2020-01-12 13:15:33,0.001s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,,2020-01-12 13:15:33,2020-01-12 13:15:33,0.085s,PASSED
,,,,,,,
Test Cases/roomit,Chrome 77.0.3865.90,,,2020-01-12 13:15:33,2020-01-12 13:16:10,37.067s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2020-01-12 13:15:33,2020-01-12 13:15:34,0.773s,PASSED
